zpid_index,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_openHouse,listingSubType.is_bankOwned,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_forAuction,unit,listingSubType.is_foreclosure
25149762,,SINGLE_FAMILY,6466.0,"7132 Stanton Ave, Buena Park, CA 90621",https://photos.zillowstatic.com/fp/25891831937465b51123ba6ac35369e8-p_e.jpg,599900,2.0,-117.9934,33.85714,FOR_SALE,25149762,,-1,1.0,817.0,USA,USD,sqft,True,,,True,,,,,
25271749,,SINGLE_FAMILY,8580.0,"8732 Princess Cir, Huntington Beach, CA 92646",https://photos.zillowstatic.com/fp/978473e3804231ae78dcfbc3a7d3d50d-p_e.jpg,1499000,4.0,-117.975685,33.670456,FOR_SALE,25271749,,-1,2.0,1523.0,USA,USD,sqft,True,,,True,,,,,
2062243789,,SINGLE_FAMILY,,"Arborwood 1 Plan, Great Park Neighborhoods : Arborwood at Solis Park",https://photos.zillowstatic.com/fp/c26285706d5577ee01233cfa4d4efa8e-p_e.jpg,1529990,3.0,-117.7096,33.6711,FOR_SALE,2062243789,,-1,3.0,2266.0,USA,USD,,True,True,,,BUILDER_PLAN,True,,# IJ90UC,
25477808,,SINGLE_FAMILY,8736.0,"2626 Basswood St, Newport Beach, CA 92660",https://photos.zillowstatic.com/fp/b9af435206748befb2479fb967562d1b-p_e.jpg,3690000,4.0,-117.87141,33.637657,FOR_SALE,25477808,,-1,4.0,3475.0,USA,USD,sqft,True,True,,True,,,,,
25711150,,SINGLE_FAMILY,4000.0,"28034 Via De Costa, San Juan Capistrano, CA 92675",https://photos.zillowstatic.com/fp/6c18daab2463a848db553545ba3c74de-p_e.jpg,974900,3.0,-117.64417,33.49353,FOR_SALE,25711150,,-1,3.0,1347.0,USA,USD,sqft,True,,,True,,,,,
25275720,,SINGLE_FAMILY,6386.0,"20381 Meander Ln, Huntington Beach, CA 92646",https://photos.zillowstatic.com/fp/60031887ed063f34b03a7658b9645dd6-p_e.jpg,1649000,5.0,-117.97618,33.66638,FOR_SALE,25275720,,-1,3.0,1891.0,USA,USD,sqft,True,,,True,,,,,
25557068,,SINGLE_FAMILY,7241.0,"150 Cress St, Laguna Beach, CA 92651",https://photos.zillowstatic.com/fp/b873c72009599fcf784dbdecb7ce2a7a-p_e.jpg,7995000,8.0,-117.77635,33.532192,FOR_SALE,25557068,,-1,6.0,3483.0,USA,USD,sqft,True,,,True,,,,,
2063021309,,SINGLE_FAMILY,1470.0,"1261 Ocean Fron, Laguna Beach, CA 92651",https://photos.zillowstatic.com/fp/cd50a8d7941fe137f59dacce549779df-p_e.jpg,12900000,2.0,-117.78385,33.542347,FOR_SALE,2063021309,,-1,5.0,3539.0,USA,USD,sqft,True,,,True,,,,,
25474102,,SINGLE_FAMILY,2328.0,"2254 Hazel Rd, Tustin, CA 92780",https://photos.zillowstatic.com/fp/89f95481805d8a5be06892c54cb2b746-p_e.jpg,730000,3.0,-117.8072,33.725037,FOR_SALE,25474102,,-1,2.0,1234.0,USA,USD,sqft,True,,,True,,,,,
25569054,,SINGLE_FAMILY,0.28236914600551,"28482 Shrike Dr, Laguna Niguel, CA 92677",https://photos.zillowstatic.com/fp/2d089f06c84d740fd09c6b1019173cea-p_e.jpg,1499900,4.0,-117.71487,33.548946,FOR_SALE,25569054,,-1,3.0,2586.0,USA,USD,acres,True,,,True,,,,,
25088891,,SINGLE_FAMILY,6138.0,"1410 W 21st St, Santa Ana, CA 92706",https://photos.zillowstatic.com/fp/4823462ca50764fd4e177060a32070bb-p_e.jpg,799888,3.0,-117.88637,33.763023,FOR_SALE,25088891,,-1,3.0,1354.0,USA,USD,sqft,True,,,True,,,,,
25317691,,SINGLE_FAMILY,5049.0,"5975 Suva St, Cypress, CA 90630",https://photos.zillowstatic.com/fp/49aa21380becc1a81937eba510cd8264-p_e.jpg,1598000,5.0,-118.02911,33.793854,FOR_SALE,25317691,,-1,4.0,2949.0,USA,USD,sqft,True,,,True,,,,,
64537593,,SINGLE_FAMILY,10016.0,"17 Pisano St, Ladera Ranch, CA 92694",https://photos.zillowstatic.com/fp/3e0e64ff33bf66a929e8dd72defa3e3d-p_e.jpg,2499000,6.0,-117.6393,33.530937,FOR_SALE,64537593,,-1,5.0,4186.0,USA,USD,sqft,True,True,,True,,,,,
25441803,,SINGLE_FAMILY,0.25252525252525,"18162 Joshua Ln, Santa Ana, CA 92705",https://photos.zillowstatic.com/fp/8119e862da1de62d80e35261b3f1c7ad-p_e.jpg,1595000,4.0,-117.81606,33.76291,FOR_SALE,25441803,,-1,3.0,2152.0,USA,USD,acres,True,,,True,,,,,
59727640,,SINGLE_FAMILY,4785.0,"11 Shively Rd, Ladera Ranch, CA 92694",https://photos.zillowstatic.com/fp/fc8e32682fe05b244058ea0ddcf42f32-p_e.jpg,1650000,5.0,-117.63178,33.550636,FOR_SALE,59727640,,-1,3.0,2800.0,USA,USD,sqft,True,True,,True,,,,,
25415687,,SINGLE_FAMILY,10000.0,"695 S Pathfinder Trl, Anaheim, CA 92807",https://photos.zillowstatic.com/fp/6a918cde73cdbf2bb902fd8880dc63e7-p_e.jpg,1777777,5.0,-117.78611,33.838562,FOR_SALE,25415687,,-1,3.0,3476.0,USA,USD,sqft,True,True,,True,,,,,
25347064,,SINGLE_FAMILY,6250.0,"7642 11th St, Buena Park, CA 90621",https://photos.zillowstatic.com/fp/5c1fe2ab95873d136c0c3cb4ea2946ae-p_e.jpg,729900,3.0,-118.00008,33.862564,FOR_SALE,25347064,,-1,3.0,1178.0,USA,USD,sqft,True,,,True,,,,,
25158475,,SINGLE_FAMILY,6565.0,"541 W Knepp Ave, Fullerton, CA 92832",https://photos.zillowstatic.com/fp/58193c10b0cfc74b423f5c24d1c5b02e-p_e.jpg,825000,3.0,-117.93492,33.862717,FOR_SALE,25158475,,-1,2.0,1556.0,USA,USD,sqft,True,,,True,,,,,
25537738,,SINGLE_FAMILY,5000.0,"23505 Swallow Ln, Lake Forest, CA 92630",https://photos.zillowstatic.com/fp/ccf40e98a4bd42f18730b0d1eab531c6-p_e.jpg,1199000,4.0,-117.71084,33.620995,FOR_SALE,25537738,,-1,3.0,1900.0,USA,USD,sqft,True,,,True,,,,,
25270472,,SINGLE_FAMILY,5300.0,"21412 Dockside Cir, Huntington Beach, CA 92646",https://photos.zillowstatic.com/fp/21cb5ddeae982c470acd2266d55d2669-p_e.jpg,1499900,5.0,-117.96454,33.651646,FOR_SALE,25270472,,-1,3.0,2080.0,USA,USD,sqft,True,,,True,,,,,
25363535,,SINGLE_FAMILY,8560.0,"1760 Arbolita Dr, La Habra, CA 90631",https://photos.zillowstatic.com/fp/a374f3c0673e58db6191161b4f6bc1f7-p_e.jpg,1383000,4.0,-117.926895,33.943806,FOR_SALE,25363535,,-1,4.0,2860.0,USA,USD,sqft,True,,,True,,,,,
25586624,,SINGLE_FAMILY,6750.0,"2 Saint Paul Ln, Laguna Niguel, CA 92677",https://photos.zillowstatic.com/fp/2c29b0c5742f92f2e10e18c0bea048bd-p_e.jpg,2500000,4.0,-117.69753,33.4952,FOR_SALE,25586624,,-1,4.0,3194.0,USA,USD,sqft,True,,,True,,,,,
25597653,,SINGLE_FAMILY,0.28925619834711,"35511 Del Rey, Dana Pt, CA 92624",https://photos.zillowstatic.com/fp/0575dcf0ed98fb2ba4c421bbaf24c817-p_e.jpg,3795000,4.0,-117.65205,33.44849,FOR_SALE,25597653,,-1,4.0,4108.0,USA,USD,acres,True,True,,True,,,,,
